湖北和湖南两省因其与湖的相对位置而得名，湖北意为“湖的北边”，而湖南则为 “湖的南边”。,2017-12-3
洞庭湖作为龙舟赛的发源地，在中国文化中享有盛名。,2017-12-3
据说龙舟赛始于洞庭湖东岸。,2017-12-3
为的是搜寻楚国爱国诗人屈原的遗体。,2017-12-3
龙舟赛与洞庭湖及周边的美景，每年都吸引着成千上万来自全国和世界各地的游客。,2017-12-3
过去，拥有一辆私家车对大部分中国人而言是件奢侈的事。,2018-06-1
如今，私家车在中国随处可见。,2018-06-1
汽车成了人们生活中不可或缺的一部分，他们不仅开车上下班，还经常驾车出游。,2018-06-1
有些城市的汽车增长速度过快，以至于交通拥堵和停车位不足的问题日益严峻，这些城市的市政府不得不出台新规，限制上路汽车的数量。,2018-06-1
由于空气污染日益严重，现在越来越多的人选择购买新能源汽车，中国政府也采取了一些措施，支持新能源汽车的发展。,2018-06-1
中国目前拥有世界上最大最快的高速铁路网。,2018-06-2
高铁列车的运行速度还将继续提升，更多的城市将修建高铁站。,2018-06-2
高铁大大缩短了人们出行的时间。,2018-06-2
相对飞机而言，高铁列车的突出优势在于准时，因为基本不受天气或交通管制的影响。,2018-06-2
高铁极大地改变了中国人的生活方式。,2018-06-2
如今，它已经成了很多人商务旅行的首选交通工具。,2018-06-2
越来越多的人也在假日乘高铁外出旅游。,2018-06-2
还有不少年轻人选择在一个城市工作而在邻近城市居住，每天乘高铁上下班。,2018-06-2
自行车曾经是中国城乡最主要的交通工具，中国一度被称为“自行车王国”。,2018-06-3
如今，随着城市交通拥堵和空气污染日益严重，骑自行车又开始流行起来。,2018-06-3
近来，中国企业家将移动互联网技术与传统自行车结合在一起，发明了一种称为共享单车（sharedbikes）的商业模式。,2018-06-3
共享单车的出现使骑车出行更加方便，人们仅需一部手机就可以随时使用共享单车。,2018-06-3
为了鼓励人们骑车出行，很多城市修建了自行车道。,2018-06-3
现在，越来越多的中国人也喜欢通过骑车健身。,2018-06-3
近年来，中国越来越多的博物馆免费向公众开放。,2018-12-1
博物馆展览次数和参观人数都明显增长。,2018-12-1
在一些广受欢迎的博物馆门前，排长队已很常见。,2018-12-1
这些博物馆必须采取措施限制参观人数。,2018-12-1
如今，展览形式越来越多样。,2018-12-1
一些大型博物馆利用多媒体和虚拟现实等先进技术，使展览更具吸引力。,2018-12-1
不少博物馆还举办在线展览，人们可在网上观赏珍稀展品。,2018-12-1
然而，现场观看展品的体验对大多数参观者还是更具吸引力。,2018-12-1
中国越来越重视公共图书馆，并鼓励人们充分加以利用。,2018-12-2
新近公布的统计数字表明，中国的公共图书馆数量在逐年增长。,2018-12-2
许多图书馆通过翻新和扩建，为读者创造了更为安静、舒适的环境。,2018-12-2
大型公共图书馆不仅提供种类繁多的参考资料，而且定期举办讲座、展览等活动。,2018-12-2
近年来，也出现了许多数字图书馆，从而节省了存放图书所需的空间。,2018-12-2
一些图书馆还推出了自助服务系统，使读者借书还书更加方便，进一步满足了读者的需求。,2018-12-2
近年来，中国政府进一步加大体育馆建设投资，以更好地满足人们快速增长的健身需求。,2018-12-3
除了新建体育馆外，许多城市还采取了改造旧工厂和商业建筑等措施，来增加当地体育馆的数量。,2018-12-3
在政府资金的支持下，越来越多的体育馆向公众免费开放，或者只收取少量费用。,2018-12-3
许多体育馆通过应用现代信息技术大大提高了服务质量。,2018-12-3
人民可以方便地在线预订场地和付费。,2018-12-3
可以预见，随着运动设施的不断改善，愈来愈多的人将会去体育馆健身。,2018-12-3
中国幅员辽阔，人口众多，很多地方人们都说自己的方言。,2019-06-1
方言在发音上差别很大，词汇和语法差别较小。,2019-06-1
有些方言，特别是北方和南方的方言，差异很大，以致于说不同方言的人常常很难听懂彼此的讲话。,2019-06-1
方言被认为是当地文化的一个组成部分，但近年来能说方言的人数不断减少。,2019-06-1
为了鼓励人们更多说本地语言，一些地方政府已经采取措施，如在学校开设方言课，在广播和电视上播放方言节目，以期保存本地的文化遗产。,2019-06-1
汉语现在是世界上用作本族语人数最多的语言。,2019-06-2
汉语与西方语言的一个重要区别在于它是以方块字 (character)而不是以字母构成的。,2019-06-2
目前仍在使用的书写系统中，汉语是最古老的。,2019-06-2
在中国，来自不同地区的人可能听不懂对方的方言，但由于汉字有统一的书写形式，他们交流起来几乎没有任何困难。,2019-06-2
汉语历史上对团结中华民族发挥了重要作用。,2019-06-2
今天，随着中国经济的快速增长和全球影响力的增强，越来越多其他国家的人也开始学习汉语。,2019-06-2
成语 (Chineseidioms)是汉语中的一种独特的表达方式，大多由四个汉字组成。,2019-06-3
它们高度简练且形式固定，但通常能形象地表达深刻的含义。,2019-06-3
成语大多来源于中国古代的文学作品，通常与某些神话、传说或者历史事件有关。,2019-06-3
如果不知道某个成语的出处，就很难理解其确切含义。,2019-06-3
因此，学习成语有助于人们更好地理解中国传统文化。,2019-06-3
成语在日常会话和文学创作中广泛使用。,2019-06-3
恰当使用成语可以使一个人的语言更具表现力，交流更有效。,2019-06-3
牡丹 (peony) 花色艳丽，形象高雅，象征着和平与繁荣，因而在中国被称为 “花中之王 “。,2019-12-1
中国许多地方都培育和种植牡丹。,2019-12-1
千百年来，创作了许多诗歌和绘画赞美牡丹。,2019-12-1
唐代时期，牡丹在皇家园林普遍种植并被誉为国花，因而特别风行。,2019-12-1
十世纪时，洛阳古城成为牡丹栽培中心，而这一地位一直保持到今天。,2019-12-1
现在，成千上万的国内外游客蜂拥到洛阳参加一年一度的牡丹节，欣赏洛阳牡丹的独特之美，同时探索九朝古都的历史。,2019-12-1
梅花 (plum blossom) 位居中国十大名花之首，源于中国南方，已有三千多年的栽培和种植历史。,2019-12-2
隆冬时节，五颜六色的梅花不畏严寒，迎着风雪傲然绽放。,2019-12-2
在中国传统文化中，梅花象征着坚强、纯洁、高雅，激励人们不畏艰难，砥砺前行。,2019-12-2
自古以来，许多诗人和画家从梅花中获取灵感，创作了无数不朽的作品。,2019-12-2
普通大众也都喜爱梅花，春节期间常用于家庭装饰。,2019-12-2
南京市已将梅花定为市花，每年举办梅花节，成千上万的人冒着严寒到梅花山踏雪赏梅。,2019-12-2
荷花 (lotus flower) 是中国的名花之一，深受人们喜爱。,2019-12-3
中国许多地方的湖泊和池塘都适宜荷花生长。,2019-12-3
荷花色彩鲜艳，夏日清晨绽放，夜晚闭合，花期长达两三个月，吸引来自各地的游客前往观赏。,2019-12-3
荷花具有多种功能，既能绿化水面，又能美化庭园，还可净化水质、 减少污染、 改善环境。,2019-12-3
荷花迎骄阳而不惧，出污泥而不染，象征纯洁、 高雅，常常用来比喻人的高尚品德，历来是诗人画家创作的重要题材。,2019-12-3
荷花盛开的地方也是许多摄影爱好者经常光顾之地。,2019-12-3
北京大兴国际机场位于天安门广场以南46公里处，于2019年9月30日投入使用。,2020-12-1
该巨型工程于2014 年开工建设，高峰时工地上有4万多工人。,2020-12-1
航站楼设计紧凑，可以允许最大数量的飞机直接停靠在最靠近航站楼中心的位置，这给乘客提供了极大的方便。,2020-12-1
航站楼共有82个登机口，但乘客通过安检后，只需不到8分钟就能抵达任何一个登机口。,2020-12-1
机场的设计可确保每小时300架次起降。,2020-12-1
机场年客运量2040年将达到1亿人次，有望成为世界上最繁忙的机场。,2020-12-1
港珠澳大桥(HongKong-Zhuhai-MacauBridge)全长55公里，是我国一项不同寻常的工程壮举。,2020-12-2
大桥将三个城市连接起来，是世界上最长的跨海桥梁和隧道系统。,2020-12-2
大桥将三个城市之间的旅行时间从3小时缩短到30分钟。,2020-12-2
这座跨度巨大的钢筋混凝土大桥充分证明中国有能力建造创纪录的巨型建筑。,2020-12-2
它将助推区域一体化，促进经济增长。,2020-12-2
大桥是中国发展自己的大湾区总体规划的关键。,2020-12-2
中国希望将大湾区建成在技术创新和经济繁荣上能与旧金山、纽约和东京的湾区相媲美的地区。,2020-12-2
青藏铁路是世界上最高最长的高原铁路，全长 1，956 公里，其中有 960 公里在海拔 4，000 多米之上，是连接西藏和中国其他地区的第一条铁路。,2020-12-3
由于铁路穿越世界上最脆弱的生态系统，在建设期间和建成后都采取了生态保护措施，以确保其成为一条 “绿色铁路 “。,2020-12-3
青藏铁路大大缩短了去往西藏的旅行时间。,2020-12-3
更重要的是，它极大地促进了西藏的经济发展，改善了当地居民的生活。,2020-12-3
铁路开通后，越来越多的人选择乘火车前往西藏，这样还有机会欣赏沿线的美景。,2020-12-3
海南是仅次于台湾的中国第二大岛，是位于中国最南端的省份。,2021-06-1
海南岛风景秀丽，气候宜人，阳光充足，生物多样，温泉密布，海水清澈，大部分海滩几乎全年都是游泳和日光浴的理想场所，因而被誉为中国的四季花园和度假胜地，每年都吸引了大批中外游客。,2021-06-1
海南1988年建省以来，旅游业、服务业、高新技术产业飞速发展，是中国唯一的省级经济特区。,2021-06-1
在中央政府和全国人民的大力支持下，海南将建成中国最大的自由贸易试验区。,2021-06-1
青海是中国西北部的一个省份，平均海拔3000米以上，大部分地区为高山和高原。,2021-06-2
青海省得名于全国最大的咸水湖青海湖。,2021-06-2
"青海湖被誉为“中国最美的湖泊”,是最受欢迎的旅游景点之一，也是摄影师和艺术家的天堂。",2021-06-2
青海山川壮丽，地大物博，石油和天然气储量丰富，省内许多城市的经济在石油和天然气工业带动下得到了长足发展。,2021-06-2
青海尤以水资源丰富而闻名，是中国三大河流长江，黄河和澜沧江的发源地，在中国的水生态中发挥着重要作用。,2021-06-2
云南是位于中国西南的一个省份，平均海拔1500米。,2021-06-3
云南历史悠久，风景秀丽，气候宜人。,2021-06-3
云南生态环境优越，生物多种多样，被誉为野生动植物的天堂。,2021-06-3
云南还有多种矿藏和充足的水资源，为全省经济的可持续发展提供了有利条件。,2021-06-3
云南居住着25个少数民族，他们大多有自己的语言，习俗和宗教。,2021-06-3
云南独特的自然景色和丰富的民族文化使其成为中国最受欢迎的旅游目的地之一，每年都吸引着大批国内外游客前往观光旅游。,2021-06-3
中国共产党第一次全国代表大会会址位于上海兴业路 76 号，是一栋典型的上海式住宅，建于 1920 年秋。,2021-12-1
1921 年 7 月 23 日，中国共产党第一次全国代表大会在此召开，大会通过了中国共产党的第一个纲领和第一个决议，选举产生了中央领导机构，宣告了中国共产党的诞生。,2021-12-1
1952 年 9 月，中共一大会址修复，建立纪念馆并对外开放。,2021-12-1
纪念馆除了介绍参加一大的代表之外，还介绍党的历史发展进程，现已成为了解党史，缅怀革命先烈的爱国主义教育基地。,2021-12-1
延安位于陕西省北部，地处黄河中游，是中国革命的圣地。,2021-12-2
毛泽东等老一辈革命家曾在这里生活战斗了十三个春秋，领导了抗日战争和解放战争，培育了延安精神，为中国革命做出了巨大贡献。,2021-12-2
延安的革命旧址全国数量最大、 分布最广，级别最高。,2021-12-2
延安是全国爱国主义、 革命传统和延安精神教育基地。,2021-12-2
延安有 9 个革命纪念馆，珍藏着中共中央和老一辈革命家在延安时期留存下来的大量重要物品，因此享有 “中国革命博物馆城 “的美誉。,2021-12-2
"井冈山地处湖南、 江西两省交界处，因其辉煌的革命历史被誉为 “中国革命红色摇篮"" 1927年 10 月，毛泽东、 朱德等老一辈革命家率领中国工农红军来到这里，开展了艰苦卓绝的斗争，创建了第一个农村革命根据地，点燃了中国革命的星星之火，开辟了 “农村包围 (besiege) 城市，武装夺取政权 “这一具有中国特色的革命道路，中国革命从这里迈向胜利。",2021-12-3
井冈山现有100 多处革命旧址，成为一个 “没有围墙的革命历史博物馆 “，是爱国主义和革命传统教育的重要基地。,2021-12-3
卢沟桥位于天安门广场西南15公里处，横跨永定河，是北京现存最古老的多拱石桥。,2022-06-1
卢沟桥最初建成于1192年，1698年重建，由281根柱子支撑。,2022-06-1
每根柱子上都有一头石狮。,2022-06-1
这些石狮的头、背、腹部或爪子上都藏着更多的狮子。,2022-06-1
这些石狮生动逼真、千姿百态，是卢沟桥石刻艺术的精品。,2022-06-1
桥上的石狮不计其数，因而北京地区流传着“卢沟桥上的石狮子— — 数不清”的说法。,2022-06-1
卢沟桥不仅以其美学特征闻名于世，还被公认为石桥建筑史上的一座丰碑。,2022-06-1
南京长江大桥是长江上首座由中国设计、采用国产材料建造的铁路、公路两用桥，上层的4车道公路桥长4589米，下层的双轨道铁路桥长6772米。,2022-06-2
铁路桥连接原来的天津一浦口和上海一南京两条铁路线，使火车过江从过去一个半小时缩短为现在的2分钟。,2022-06-2
大桥是南北交通的重要枢纽，也是南京的著名景点之一。,2022-06-2
南京长江大桥的建成标志着中国桥梁建设的一个飞跃，大大方便了长江两岸的物资交流和人员来往，对促进经济发展和改善人民生活起到了巨大作用。,2022-06-2
赵州桥建于隋朝，公元605年左右，长50.82米，宽9.6米，跨度37.37米。,2022-06-3
天才建筑师李春设计并监督了桥的建设。,2022-06-3
赵州桥结构新颖、造型优美。,2022-06-3
桥有一个大拱，在大拱的两端有两个小拱，帮助排泄洪水、减轻桥梁重量并节省石材。,2022-06-3
建成以来，该桥经受了多次洪水和地震，但其主体结构仍然完好无损，至今仍在使用。,2022-06-3
赵州桥是世界桥梁建筑史上的一次创举，是中国古代文明史上的一项杰出成就。,2022-06-3
类似设计的桥梁直到14世纪才在欧洲出现，比赵州桥晚了 700多年。,2022-06-3
提示：第三套试题除翻译和作文不同，其余与第2套完全一致，故而不再重复显示。,2022-06-3
青藏高原(theQinghai-TibetPlateau)位于中国西南部，面积约230万平方公里，平均海拔4000米以上，被称为“世界屋脊”。,2022-12-1
青藏高原自然资源丰富，风景秀丽，拥有多种珍稀野生动物。,2022-12-1
青藏高原气温很低，形成了大面积高山冰川。,2022-12-1
这里是亚洲许多著名河流的源头，是中国和东南亚的主要淡水供应源。,2022-12-1
青藏高原对全球生态系统至关重要。,2022-12-1
由于气候变化的影响，青藏高原的冰川正在加速融化。,2022-12-1
中国一直在努力保护青藏高原的生态系统，草地覆盖率不断增加，许多濒危物种得到更为有效的保护。,2022-12-1
黄土高原 (theLoessPlateau） 是中国第三大高原，面积约60万平方公里，平均海拔1000 — 2000米，绝大部分覆盖着50 — 80米厚的黄土，是世界上黄土分布最集中、 覆盖厚度最大的区域。,2022-12-2
这是大自然创造的一个奇迹，在世界上也是绝无仅有的。,2022-12-2
黄土高原是中华民族的发祥地之一。,2022-12-2
早在5500年前，人们就已经在黄土高原上开始农耕。,2022-12-2
随着农耕业的持续发展，黄土高原人口不断增加，在秦汉时期就成为中国的政治和经济中心。,2022-12-2
如今，随着西部大开发战略的实施，黄土高原地区的经济得到了迅速发展。,2022-12-2
云贵高原(theYunnan-GuizhouPlateau)大部分位于云南、贵州省境内，总面积约50万平方公里，平均海拔2000 — 4000米，是中国第四大高原。,2022-12-3
云贵高原西高东低，河流众多，形成了许多又深又陡的峡谷 (canyon)。,2022-12-3
峡谷中许多地方土壤肥沃，非常有利于多种农作物生长。,2022-12-3
云贵高原独特的自然环境造就了生物和文化的多样性。,2022-12-3
它是中国森林和矿产资源类型十分丰富的地区，也是古人类起源的重要地区。,2022-12-3
云贵高原是中国少数民族数量最多的地区，各民族都保留了自己丰富多彩的文化传统。,2022-12-3
随着中国经济的快速发展和人们生活水平的稳步提高，城市居民对环境和生活品质的要求越来越高。,2023-06-1
中国地方政府更加注重公共设施的建设和改进，以更好地满足人们的需求。,2023-06-1
通过兴建新的广场、公园和公共绿地或对原有公共场地重新加以规划改造，许多城市为市民提供了更多休闲和社交的场所。,2023-06-1
如今，政府出资购置的健身器械和铺设的健身步道在不少城市随处可见，既明显改善了市民户外活动的条件，又使城市更加美丽。,2023-06-1
近年来，越来越多的中国文化产品走向全球市场，日益受到海外消费者的青睐。,2023-06-2
随着中国对外文化贸易的快速发展，中国文化产品出口额已持续多年位居世界前列，形成了一批具有国际影响力的文化企业、产品和品牌。,2023-06-2
数据显示，中国的出版物、影视作品、网络文学与动漫作品等在海外的销售量连年攀升。,2023-06-2
中国政府出台了一系列政策鼓励和支持更多具有中国元素的优秀文化产品走出国门，扩大海外市场份额，进一步提升中国文化的世界影响力。,2023-06-2
近年来，中国城市加快发展，城市人居环境得到显著改善。,2023-06-3
许多城市努力探索中国特色的城市高质量发展之路，城市功能不断完善，治理水平明显提高。,2023-06-3
中国持续开展城市生态修复和功能修补，全面实施城镇老旧小区改造，大力推进城市园林绿化，消除污染；同时大力推进城市基础设施体系化建设，开展房屋建筑和市政设施普查以及安全隐患排查整治，努力为市民创造高品质的生活环境，让城市更美丽、更安全、更宜居。,2023-06-3
随着经济与社会的发展，中国人口结构发生了显著变化，逐渐步入老龄化社会。,2023-12-1
中国老年人口将持续增加，人口老龄化趋势将更加明显。,2023-12-1
为了应对人口老龄化带来的种种挑战，国家正积极采取措施，加大对养老的支持。,2023-12-1
通过改革社会保障 (socialsecurity) 制度，政府不断增加社会保障经费，逐步扩大社会保障覆盖范围，使更多老年人受益。,2023-12-1
政府还鼓励各种社会团体为老年人提供服务。,2023-12-1
在政府和社会团体的共同努力下，老年人将生活得更加幸福。,2023-12-1
在中国，随着老龄化社会的到来，养老受到普遍关注。,2023-12-2
人们谈论最多的是应当采取什么样的养老模式。,2023-12-2
多数人认为，养老模式需要多元化。,2023-12-2
可以通过政府引导和社会参与，建立更多更好的养老服务机构，改进社区服务中心，鼓励居家自助养老，还可以推行家庭养老与社会养老相结合的模式。,2023-12-2
随着政府和社会对养老服务事业投入的持续增加，养老设施将不断升级，服务质量逐步改进，老年人的生活将会更加方便舒适、健康快乐。,2023-12-2
近年来，中国老龄人口持续增长。,2023-12-3
中国政府正采取各种措施，推进养老服务体系建设，使老年人晚年生活健康幸福。,2023-12-3
全国兴建了各类养老服务机构。,2023-12-3
为了提升养老机构的服务质量，政府颁布了一系列标准，加强对养老机构的监管。,2023-12-3
许多城市为方便老年人用餐，开设了社区食堂，为他们提供价格实惠的饭菜。,2023-12-3
行动不便的老年人还能享受上门送餐服务。,2023-12-3
同时，中国还在积极探索居家和社区养老等其他养老模式，以确保所有老年人老有所养。,2023-12-3
中国的传统婚礼习俗历史悠久，从周朝开始就逐渐形成了一套完整的婚礼仪式，有些一直沿用至今。,2024-06-1
如今的中式婚礼习俗已有很大变化，但婚礼庆典仍然十分隆重。,2024-06-1
婚礼场地经过精心装饰，以象征喜庆 (jubilance) 的红色为主色调，摆放着许多祝愿新人幸福的物件。,2024-06-1
在婚礼上，新人要拜天地 (bow to Heaven and Earth)、 拜父母和相互对拜，然后设宴招待宾客，并向宾客敬酒致谢。,2024-06-1
今天，许多年轻人依然钟情于传统的中式婚礼，体验独特而美好的中国式浪漫。,2024-06-1
中国盛产竹子，是最早开发利用竹资源的国家。,2024-06-2
竹子在中国分布广泛，品种丰富。,2024-06-2
竹子实用性强，用于生产和生活的许多方面，如筷子、 桌椅的制作和桥梁、 房屋的建造。,2024-06-2
中国人爱竹，自古以来就有无数文人以竹为主题，创作了绚丽多彩的文学和绘画作品。,2024-06-2
竹子主干 (stem) 笔直，象征正直的品格。,2024-06-2
竹子具有强大的生命力和适应能力，无论环境多么恶劣，都能够顽强生存，因而寓意坚韧不拔的精神。,2024-06-2
几千年来，竹子一直被视为中华民族品格的象征。,2024-06-2
扇子自古以来就深受中国人喜爱，但现在已不只是消暑纳凉的工具，而更多地作为艺术品供人欣赏。,2024-06-3
许多扇子造型优美、 做工精良，并绘有山水、 花鸟、人物等精美图案，具有很高的艺术价值。,2024-06-3
中国许多著名画家和书法家喜欢在扇子上作诗绘画，展示其艺术品味。,2024-06-3
扇子常作为礼物赠予他人，表达美好的祝福和真挚的情感。,2024-06-3
如今，扇子的实用功能已大为减弱，但作为一种文化符号和艺术形式，扇子仍然在中国传统文化中扮演着重要角色。,2024-06-3
北斗（Beidou）卫星导航系统的成功研制是中国自改革开放以来取得的一项重大科技成就。,2024-12-1
研发人员经过不懈努力，攻克了一系列技术难题，北斗系统最终实现了全球覆盖和高精度定位，使中国成为世界上少数几个独立拥有全球卫星导航系统的国家之一。,2024-12-1
北斗系统已广泛应用于交通运输、灾害救援、天气预报、公共安全等诸多领域。,2024-12-1
北斗系统现在已经在国际上得到广泛认可，开始为越来越多的国家和地区提供优质服务。,2024-12-1
洋山港 (YangshanPort) 是上海航运中心的重要组成部分，是中国第一个深水港，也是世界上规模最大的深水港之一。,2024-12-2
经过近20年的发展，洋山港已实现高度自动化。,2024-12-2
数字技术和人工智能的使用大大减少了用工成本和碳排放。,2024-12-2
自主研发的码头管理系统可以在百公里之外对大型设备进行远程操控。,2024-12-2
洋山港看上去一片繁忙，现场却见不到人工操作，而且能够24 小时不间断运作。,2024-12-2
洋山港将不断发展，为把上海建成一个全球航运中心做出更大贡献。,2024-12-2
遨游太空历来是中华民族的梦想。,2024-12-3
2003年，神舟五号飞船发射成功，杨利伟成为第一个飞入太空的中国宇航员。,2024-12-3
2008年，神舟七号升空，翟志刚成为中国历史上首位进行太空行走的宇航员。,2024-12-3
近年来，中国航天进入创新发展 “快车道”，太空基础设施建设稳步推进，中国空间站于2022年全面建成。,2024-12-3
中国航天事业的迅速发展在中华民族的历史上写下了辉煌一页，也为人类文明进步做出了巨大贡献。,2024-12-3
未来，中国探索太空的脚步将迈得更稳、更远。,2024-12-3
天宫空间站 (TiangongSpaceStation) 是中国首个太空实验室，拥有110多立方米使用空间，可驻留3 名航天员，在距地球表面400—450公里的轨道上运行。,2025-06-1
天宫空间站已实施180多个科学研究与应用项目，涉及空间生命科学、太空医学、空间材料科学等领域。,2025-06-1
天宫空间站的研究成果在我国得到了广泛应用，产生了显著的经济效益。,2025-06-1
例如，太空育种创造的直接经济效益高达数千亿元。,2025-06-1
